study_id,Title,link,old_new,ISO,study_loc,study_type,duration_months,vaccine_class,n_doses,strata_age,age_lb,age_ub,age_class,TL,TR,yearid,ve_est,ve_lb,ve_ub,2nd_reviewer_initials,included_main,note1,note2
"Sialubanje et al, 2022a","Effectiveness of two doses of Euvichol-plus oral cholera vaccine in response to the 2017/2018 outbreak: a matched case-control study in Lusaka, Zambia",https://pubmed.ncbi.nlm.nih.gov/36368745/,new,ZMB,Lusaka,Observational,6,WC,at least 1,0,1,,0,0,6,1,74,50,86,at,0,retrospective case control study,
"Sialubanje et al, 2022b","Effectiveness of two doses of Euvichol-plus oral cholera vaccine in response to the 2017/2018 outbreak: a matched case-control study in Lusaka, Zambia",https://pubmed.ncbi.nlm.nih.gov/36368745/,new,ZMB,Lusaka,Observational,6,WC,2,0,1,,0,0,6,1,81,72,84,at,1,retrospective case control study,
"Ali et al, 2021a",Effectiveness of a killed whole-cell oral cholera vaccine in Bangladesh: further follow-up of a cluster-randomised trial,https://pubmed.ncbi.nlm.nih.gov/34146473/,new,BGD,Dhaka,Randomized,48,WC,2,0,1,,0,0,48,,46,32,58,at,1,this is the total effectiveness estimate. they also present this estimate by age group and year of follow-up.,
"Ali et al, 2021b",Effectiveness of a killed whole-cell oral cholera vaccine in Bangladesh: further follow-up of a cluster-randomised trial,https://pubmed.ncbi.nlm.nih.gov/34146473/,new,BGD,Dhaka,Randomized,48,WC,2,1,1,5,1,0,48,,24,-30,56,at,1,this is the total effectiveness estimate. they also present this estimate by age group and year of follow-up.,
"Ali et al, 2021c",Effectiveness of a killed whole-cell oral cholera vaccine in Bangladesh: further follow-up of a cluster-randomised trial,https://pubmed.ncbi.nlm.nih.gov/34146473/,new,BGD,Dhaka,Randomized,48,WC,2,1,5,,4,0,48,,49,35,60,at,1,this is the total effectiveness estimate. they also present this estimate by age group and year of follow-up.,
"Ali et al, 2021d",Effectiveness of a killed whole-cell oral cholera vaccine in Bangladesh: further follow-up of a cluster-randomised trial,https://pubmed.ncbi.nlm.nih.gov/34146473/,new,BGD,Dhaka,Randomized,48,WC,2,0,1,,0,0,12,1,47,17,66,at,0,this is the total effectiveness estimate. they also present this estimate by age group and year of follow-up.,
"Ali et al, 2021e",Effectiveness of a killed whole-cell oral cholera vaccine in Bangladesh: further follow-up of a cluster-randomised trial,https://pubmed.ncbi.nlm.nih.gov/34146473/,new,BGD,Dhaka,Randomized,48,WC,2,0,1,,0,12,24,2,68,42,82,at,0,this is the total effectiveness estimate. they also present this estimate by age group and year of follow-up.,
"Ali et al, 2021f",Effectiveness of a killed whole-cell oral cholera vaccine in Bangladesh: further follow-up of a cluster-randomised trial,https://pubmed.ncbi.nlm.nih.gov/34146473/,new,BGD,Dhaka,Randomized,48,WC,2,0,1,,0,24,36,3,25,-13,51,at,0,this is the total effectiveness estimate. they also present this estimate by age group and year of follow-up.,
"Ali et al, 2021g",Effectiveness of a killed whole-cell oral cholera vaccine in Bangladesh: further follow-up of a cluster-randomised trial,https://pubmed.ncbi.nlm.nih.gov/34146473/,new,BGD,Dhaka,Randomized,48,WC,2,0,1,,0,36,48,4,48,16,67,at,0,this is the total effectiveness estimate. they also present this estimate by age group and year of follow-up.,
"Ferreras et al, 2018",Single-Dose Cholera Vaccine in Response to an Outbreak in Zambia,https://www.nejm.org/doi/full/10.1056/NEJMc1711583,new,ZMB,Lusaka,Observational,2,WC,1,0,1,,0,0,2,1,88.9,42.7,97.8,at,1,this is the total effectiveness estimate. they also present this estimate by age group and year of follow-up.,
"Grandesso et al, 2019a","Effectiveness of oral cholera vaccine in preventing cholera among fishermen in Lake Chilwa, Malawi: A case-control study",https://pubmed.ncbi.nlm.nih.gov/31133470/,new,MWI,Lake Chilwa,Observational,3,WC,at least 1,0,15,,3,0,3,1,85.1,42.3,96.2,at,0,OCV2 self administered,this is the estimate for all admitted patients 
"Grandesso et al, 2019b","Effectiveness of oral cholera vaccine in preventing cholera among fishermen in Lake Chilwa, Malawi: A case-control study",https://pubmed.ncbi.nlm.nih.gov/31133470/,new,MWI,Lake Chilwa,Observational,3,WC,1,0,15,,3,0,3,1,88.9,35.8,98.1,at,1,OCV2 self administered,this is the estimate for all admitted patients 
"Grandesso et al, 2019c","Effectiveness of oral cholera vaccine in preventing cholera among fishermen in Lake Chilwa, Malawi: A case-control study",https://pubmed.ncbi.nlm.nih.gov/31133470/,new,MWI,Lake Chilwa,Observational,3,WC,2,0,15,,3,0,3,1,83.3,20.8,96.5,at,1,OCV2 self administered,this is the estimate for all admitted patients 
"Franke et al, 2018a","Long-term effectiveness of one and two doses of a killed, bivalent, whole-cell oral cholera vaccine in Haiti: an extended case-control study",https://pubmed.ncbi.nlm.nih.gov/30103980/,new,HTI,Artibonite and Central Department,Observational,48,WC,2,0,1,,0,2,48,,76,59,86,at,1,from table 2,"2 campaigns, one in 2012 and 2014. both were 2 doses. vaccination status ascertained by self-report"
"Franke et al, 2018b","Long-term effectiveness of one and two doses of a killed, bivalent, whole-cell oral cholera vaccine in Haiti: an extended case-control study",https://pubmed.ncbi.nlm.nih.gov/30103980/,new,HTI,Artibonite and Central Department,Observational,48,WC,2,1,5,,4,2,48,,77,58,88,at,1,from table 2,"2 campaigns, one in 2012 and 2014. both were 2 doses"
"Franke et al, 2018c","Long-term effectiveness of one and two doses of a killed, bivalent, whole-cell oral cholera vaccine in Haiti: an extended case-control study",https://pubmed.ncbi.nlm.nih.gov/30103980/,new,HTI,Artibonite and Central Department,Observational,48,WC,1,0,1,,0,2,12,1,92,66,98,at,0,estimate at 6 m (figure 2),"2 campaigns, one in 2012 and 2014. both were 2 doses"
"Franke et al, 2018d","Long-term effectiveness of one and two doses of a killed, bivalent, whole-cell oral cholera vaccine in Haiti: an extended case-control study",https://pubmed.ncbi.nlm.nih.gov/30103980/,new,HTI,Artibonite and Central Department,Observational,48,WC,1,0,1,,0,12,24,2,40,-31,73,at,0,estimate at 18 m (figure 2),"2 campaigns, one in 2012 and 2014. both were 2 doses"
"Franke et al, 2018e","Long-term effectiveness of one and two doses of a killed, bivalent, whole-cell oral cholera vaccine in Haiti: an extended case-control study",https://pubmed.ncbi.nlm.nih.gov/30103980/,new,HTI,Artibonite and Central Department,Observational,48,WC,2,0,1,,0,2,12,1,84,53,95,at,0,estimate from appendix figure 1,"2 campaigns, one in 2012 and 2014. both were 2 doses"
"Franke et al, 2018f","Long-term effectiveness of one and two doses of a killed, bivalent, whole-cell oral cholera vaccine in Haiti: an extended case-control study",https://pubmed.ncbi.nlm.nih.gov/30103980/,new,HTI,Artibonite and Central Department,Observational,48,WC,2,0,1,,0,12,24,2,66,34,82,at,0,estimate from appendix figure 1,"2 campaigns, one in 2012 and 2014. both were 2 doses"
"Franke et al, 2018g","Long-term effectiveness of one and two doses of a killed, bivalent, whole-cell oral cholera vaccine in Haiti: an extended case-control study",https://pubmed.ncbi.nlm.nih.gov/30103980/,new,HTI,Artibonite and Central Department,Observational,48,WC,2,0,1,,0,24,36,3,73,30,90,at,0,estimate from appendix figure 1,"2 campaigns, one in 2012 and 2014. both were 2 doses"
"Franke et al, 2018h","Long-term effectiveness of one and two doses of a killed, bivalent, whole-cell oral cholera vaccine in Haiti: an extended case-control study",https://pubmed.ncbi.nlm.nih.gov/30103980/,new,HTI,Artibonite and Central Department,Observational,48,WC,2,0,1,,0,36,48,4,94,56,99,at,0,estimate from appendix figure 1,"2 campaigns, one in 2012 and 2014. both were 2 doses"
"Franke et al, 2018i","Long-term effectiveness of one and two doses of a killed, bivalent, whole-cell oral cholera vaccine in Haiti: an extended case-control study",https://pubmed.ncbi.nlm.nih.gov/30103980/,new,HTI,Artibonite and Central Department,Observational,48,WC,1,1,1,5,1,0,24,,18,-447,88,,0,extracted from text at the top of page 5 of appendix (but this is unadjusted estimate),
"Franke et al, 2018j","Long-term effectiveness of one and two doses of a killed, bivalent, whole-cell oral cholera vaccine in Haiti: an extended case-control study",https://pubmed.ncbi.nlm.nih.gov/30103980/,new,HTI,Artibonite and Central Department,Observational,48,WC,2,1,1,5,1,0,24,,48,-63,84,,0,extracted from text at the top of page 5 of appendix(but this is unadjusted estimate),
