study_id,new_old,title,study_type,study_site,VE_mean,VE_l,VE_u,dose,tl,tr,yearid,age_lb,age_ub,stratified_by_age,age_class,"prop_under5 
(this is not percentage)",p25,p50,p75,mean_age,request_needed,note
"Ali et al, 2021d",new,Effectiveness of a killed whole-cell oral cholera vaccine in Bangladesh: further follow-up of a cluster-randomised trial,Randomized,Dhaka,47,17,66,2,0,12,1,1,,0,0,0.09355169,,,,,1,"follow up of Qadri 2015, longer follow up time "
"Ali et al, 2021e",new,Effectiveness of a killed whole-cell oral cholera vaccine in Bangladesh: further follow-up of a cluster-randomised trial,Randomized,Dhaka,68,42,82,2,12,24,2,1,,0,0,0.0879854,,,,,1,"follow up of Qadri 2015, longer follow up time "
"Ali et al, 2021f",new,Effectiveness of a killed whole-cell oral cholera vaccine in Bangladesh: further follow-up of a cluster-randomised trial,Randomized,Dhaka,25,-13,51,2,24,36,3,1,,0,0,0.08691117,,,,,1,"follow up of Qadri 2015, longer follow up time "
"Ali et al, 2021g",new,Effectiveness of a killed whole-cell oral cholera vaccine in Bangladesh: further follow-up of a cluster-randomised trial,Randomized,Dhaka,48,16,67,2,36,48,4,1,,0,0,0.08661373,,,,,1,"follow up of Qadri 2015, longer follow up time "
Ferreras_2018,new,Single-Dose Cholera Vaccine in Response to an Outbreak in Zambia,Observational,Zambia,88.9,42.7,97.8,1,0,2,1,1,,0,0,0.167,,,,,1,
"Franke et al, 2018a",new,"Long-term effectiveness of one and two doses of a killed, bivalent, whole-cell oral cholera vaccine in Haiti: an extended case-control study",Observational,Haiti,76,59,86,2,2,48,,1,,0,0,0.158,,,,,1,
"Franke et al, 2018c",new,"Long-term effectiveness of one and two doses of a killed, bivalent, whole-cell oral cholera vaccine in Haiti: an extended case-control study",Observational,Haiti,93,69,98,1,2,12,1,1,,0,0,0.11,,,,,1,
"Franke et al, 2018d",new,"Long-term effectiveness of one and two doses of a killed, bivalent, whole-cell oral cholera vaccine in Haiti: an extended case-control study",Observational,Haiti,40,-31,73,1,12,24,2,1,,0,0,0.2,,,,,1,
"Franke et al, 2018e",new,"Long-term effectiveness of one and two doses of a killed, bivalent, whole-cell oral cholera vaccine in Haiti: an extended case-control study",Observational,Haiti,84,53,95,2,2,12,1,1,,0,0,0.11,,,,,1,
"Franke et al, 2018f",new,"Long-term effectiveness of one and two doses of a killed, bivalent, whole-cell oral cholera vaccine in Haiti: an extended case-control study",Observational,Haiti,66,34,82,2,12,24,2,1,,0,0,0.2,,,,,1,
"Franke et al, 2018g",new,"Long-term effectiveness of one and two doses of a killed, bivalent, whole-cell oral cholera vaccine in Haiti: an extended case-control study",Observational,Haiti,73,30,90,2,24,36,3,1,,0,0,0.33,,,,,1,
"Franke et al, 2018h",new,"Long-term effectiveness of one and two doses of a killed, bivalent, whole-cell oral cholera vaccine in Haiti: an extended case-control study",Observational,Haiti,94,56,99,2,36,48,4,1,,0,0,0.04,,,,,1,
"Grandesso et al, 2019a",new,"Effectiveness of oral cholera vaccine in preventing cholera among fishermen in Lake Chilwa, Malawi: A case-control study",Observational,Malawi,85.1,42.3,96.2,at least 1,0,3,1,15,,1,3,0,20,25,35,,1,
